Country Name,Country Code,Secure Internet servers (per 1 million people) 2022,Individuals using the Internet (% of population) 2022 ,Mobile cellular subscriptions (per 100 people) 2022 
Afghanistan,AFG,36.74328607,..,..
Albania,ALB,1107.395392,82.6137,97.88570679
Algeria,DZA,75.07027283,71.2432,109.1653573
American Samoa,ASM,351.6610815,..,..
Andorra,AND,13725.6132,94.4855,142.2141211
Angola,AGO,36.53708266,39.2935,67.37347427
Antigua and Barbuda,ATG,829.3838863,91.4123,..
Argentina,ARG,5287.339402,88.3754,132.3578095
Armenia,ARM,862.1851004,77.0277,135.2539805
Aruba,ABW,1621.470506,..,..
Australia,AUS,48274.95727,94.8762,107.0312028
Austria,AUT,39544.44726,93.6141,123.4348071
Azerbaijan,AZE,544.5802482,88,106.8548072
"Bahamas, The",BHS,5189.441009,94.4117,98.53872346
Bahrain,BHR,5210.229207,100,145.4432145
Bangladesh,BGD,329.5689344,41.6152,105.2642491
Barbados,BRB,981.1630856,76.2053,114.8585936
Belarus,BLR,10278.42113,89.5073,123.4472552
Belgium,BEL,30850.81518,94.0078,101.8707731
Belize,BLZ,342412.9634,70.354,..
Benin,BEN,8.212507125,33.7602,108.9652901
Bermuda,BMU,5498.154412,..,..
Bhutan,BTN,1024.440591,86.8403,94.89274144
Bolivia,BOL,275.9756148,73.2831,..
Bosnia and Herzegovina,BIH,4776.582141,78.8455,117.8877485
Botswana,BWA,369.6884944,77.3272,165.3049695
Brazil,BRA,4685.092464,80.5278,98.89102076
British Virgin Islands,VGB,3262663.431,..,..
Brunei Darussalam,BRN,21094.93379,98.9704,117.7551548
Bulgaria,BGR,56268.36806,79.1269,117.4346239
Burkina Faso,BFA,21.7246068,19.9237,..
Burundi,BDI,10.80992053,11.275,57.96130144
Cabo Verde,CPV,777.3102372,72.1021,99.2317289
Cambodia,KHM,183.4699824,56.7328,116.3256071
Cameroon,CMR,15.19934429,43.8629,82.77764316
Canada,CAN,43649.79983,94,91.23062536
Cayman Islands,CYM,5182.215642,..,..
Central African Republic,CAF,1.961538545,..,..
Chad,TCD,0.866958875,12.1839,68.19628834
Channel Islands,CHI,..,..,..
Chile,CHL,11563.26823,90.6769,134.7453263
China,CHN,1317.312656,75.6113,124.8775379
Colombia,COL,669.6439271,72.7964,155.7854178
Comoros,COM,26.3729519,..,100.2382961
"Congo, Dem. Rep.",COD,5.957207639,27.24,50.3424172
"Congo, Rep.",COG,11.76450315,36.2469,..
Costa Rica,CRI,1892.846285,82.598,152.0251489
Cote d'Ivoire,CIV,65.83319192,38.4133,174.0251271
Croatia,HRV,29826.94706,82.0716,111.1680153
Cuba,CUB,141.3223723,73.2178,67.78418241
Curacao,CUW,5066.801781,..,..
Cyprus,CYP,58909.24386,89.601,..
Czechia,CZE,85606.06245,84.5401,128.4101866
Denmark,DNK,258760.0247,97.8601,126.549332
Djibouti,DJI,55.40429304,65.0322,46.32720375
Dominica,DMA,59198.51555,83.3767,..
Dominican Republic,DOM,183.3361916,84.3832,90.39141331
Ecuador,ECU,837.0223414,69.7181,97.16544081
"Egypt, Arab Rep.",EGY,48.18046809,72.1981,93.20626903
El Salvador,SLV,173.3988353,62.8885,181.6273204
Equatorial Guinea,GNQ,36.59459564,66.8193,53.34269106
Eritrea,ERI,0.879908091,26.5942,..
Estonia,EST,104101.3019,91.5202,155.0300061
Eswatini,SWZ,109.9336542,58.2502,122.1702298
Ethiopia,ETH,9.004318061,19.3781,56.02453443
Faroe Islands,FRO,7098.902728,..,..
Fiji,FJI,253.4200835,85.2199,..
Finland,FIN,131286.0122,92.9888,128.6830329
France,FRA,47412.49231,85.3333,118.8472962
French Polynesia,PYF,2022.269936,..,106.9831755
Gabon,GAB,28.38633556,73.6951,125.387067
"Gambia, The",GMB,49.68765053,54.1899,..
Georgia,GEO,4942.75828,78.7113,156.086567
Germany,DEU,125945.0332,91.6298,125.2251369
Ghana,GHA,49.14152857,69.8405,119.6243981
Gibraltar,GIB,16804.48829,..,112.4322338
Greece,GRC,13068.17496,83.1707,109.0631741
Greenland,GRL,4606.342987,..,..
Grenada,GRD,718.4829745,79.8955,..
Guam,GUM,1132.098317,..,..
Guatemala,GTM,129.259071,54.4043,115.1820498
Guinea,GIN,7.612874923,33.923,..
Guinea-Bissau,GNB,5.224340296,31.567,125.9324571
Guyana,GUY,87.62993877,85.3163,..
Haiti,HTI,6.780482572,..,..
Honduras,HND,128.4419381,59.7135,76.0806241
"Hong Kong SAR, China",HKG,126913.8727,95.6136,291.9103362
Hungary,HUN,51197.18982,89.1428,104.0561504
Iceland,ISL,85331.79059,99.8565,122.5171495
India,IND,729.69206,..,80.64857717
Indonesia,IDN,2496.408849,66.4846,114.9005566
"Iran, Islamic Rep.",IRN,6554.615383,81.717,164.5020873
Iraq,IRQ,30.76884607,78.7156,98.18424176
Ireland,IRL,135993.7666,95.5905,113.2768198
Isle of Man,IMN,28990.15832,..,..
Israel,ISR,13050.17002,91.8508,152.2222464
Italy,ITA,28070.90432,85.0607,132.971226
Jamaica,JAM,182.449358,85.1185,106.2021796
Japan,JPN,28934.06848,84.9234,167.5231573
Jordan,JOR,154.5806099,90.5,67.56799743
Kazakhstan,KAZ,4944.144405,92.2969,130.4206754
Kenya,KEN,280.1531897,40.8137,121.6735548
Kiribati,KIR,53.6525918,54.4214,48.82650573
"Korea, Dem. People's Rep.",PRK,3.190417202,..,..
"Korea, Rep.",KOR,8821.914776,97.1686,148.5880603
Kosovo,XKX,..,..,..
Kuwait,KWT,388.4833744,99.8436,180.9950542
Kyrgyz Republic,KGZ,639.8364955,79.7703,..
Lao PDR,LAO,273.9777857,66.1548,..
Latvia,LVA,22271.13899,91.0301,117.0957679
Lebanon,LBN,260.2494321,90.0522,..
Lesotho,LSO,75.67439887,47.0368,67.51784393
Liberia,LBR,8.18864555,30.1275,..
Libya,LBY,174.0080193,88.4281,204.6286291
Liechtenstein,LIE,66037.01922,96.8046,126.2796552
Lithuania,LTU,66487.28881,87.7242,139.1367809
Luxembourg,LUX,63898.03752,98.242,..
"Macao SAR, China",MAC,6022.442049,89.7864,174.5212668
Madagascar,MDG,17.80712134,20.5777,70.18472487
Malawi,MWI,23.82257182,27.6609,60.12725997
Malaysia,MYS,8416.741621,97.3986,141.2923164
Maldives,MDV,1158.162662,83.9119,136.5417622
Mali,MLI,14.69272697,33.0528,114.4971206
Malta,MLT,5098.671523,91.5406,131.5920538
Marshall Islands,MHL,99.80786985,73.2238,..
Mauritania,MRT,25.22747284,44.3616,113.1204131
Mauritius,MUS,1688.682107,75.5,161.3582163
Mexico,MEX,381.8895082,78.6322,100.2881985
"Micronesia, Fed. Sts.",FSM,142.7118825,40.5434,..
Moldova,MDA,8416.335331,63.5349,127.4162572
Monaco,MCO,22886.6456,98.3776,106.8167485
Mongolia,MNG,2187.988169,83.9145,142.2895592
Montenegro,MNE,1278.326931,88.2219,203.1681662
Morocco,MAR,545.6070369,89.9,..
Mozambique,MOZ,33.46986056,21.207,42.07158261
Myanmar,MMR,14.8260349,..,106.6964737
Namibia,NAM,315.6078462,62.215,113.1970166
Nauru,NRU,254.2157444,82.6668,..
Nepal,NPL,359.4764687,49.5609,..
Netherlands,NLD,181183.7897,92.5197,118.0652669
New Caledonia,NCL,6899.482103,..,..
New Zealand,NZL,18370.98413,95.7299,114.6898687
Nicaragua,NIC,95.08734218,61.0524,..
Niger,NER,4.187741509,16.937,..
Nigeria,NGA,47.09369395,35.4563,101.6857635
North Macedonia,MKD,1735.534844,84.2304,97.83329942
Northern Mariana Islands,MNP,2148.530752,..,..
Norway,NOR,44150.88745,99,110.6788541
Oman,OMN,284.3415938,97.849,..
Pakistan,PAK,116.1506874,32.9486,81.74691267
Palau,PLW,1407.736922,..,132.927167
Panama,PAN,2231.653394,73.6085,156.3065885
Papua New Guinea,PNG,83.69948591,26.991,..
Paraguay,PRY,626.5842108,76.2592,127.7049687
Peru,PER,701.5890278,74.675,122.0264016
Philippines,PHL,100.1892364,75.2111,144.0428223
Poland,POL,34772.62854,86.9411,131.9444373
Portugal,PRT,27622.75534,84.4969,124.5494123
Puerto Rico,PRI,502.777387,87.2918,119.7930948
Qatar,QAT,512.543968,100,174.1281471
Romania,ROU,24738.06077,85.5031,118.1071502
Russian Federation,RUS,19939.03323,90.418,..
Rwanda,RWA,115.5224185,34.4405,79.86005064
Samoa,WSM,566.7538477,75.2869,60.40057199
San Marino,SMR,37712.93142,85.0607,121.8062983
Sao Tome and Principe,STP,30.93170721,56.9899,86.77896033
Saudi Arabia,SAU,323.7584298,100,132.3800002
Senegal,SEN,44.58644879,59.9832,120.4336409
Serbia,SRB,11871.19895,83.5383,..
Seychelles,SYC,51769.29879,86.6654,191.50843
Sierra Leone,SLE,11.3570366,30.3518,..
Singapore,SGP,212649.3386,95.9539,156.4790531
Sint Maarten (Dutch part),SXM,1020.432379,..,..
Slovak Republic,SVK,36900.61696,89.0677,131.9254542
Slovenia,SVN,61863.77763,88.9125,126.1838135
Solomon Islands,SLB,83.21959988,44.9575,..
Somalia,SOM,5.617378867,27.6,50.25710738
South Africa,ZAF,14989.94604,74.703,167.3958702
South Sudan,SSD,5.262595819,12.1407,30.02012982
Spain,ESP,27061.61275,94.4855,124.0994495
Sri Lanka,LKA,486.5425364,50.1067,143.0794174
St. Kitts and Nevis,KNA,9398.616969,76.4575,..
St. Lucia,LCA,721.5531852,74.1859,..
St. Martin (French part),MAF,1039.140977,..,..
St. Vincent and the Grenadines,VCT,225.3885503,77.7418,100.4617693
Sudan,SDN,9.456629367,28.7045,73.96660858
Suriname,SUR,3926.735177,75.7614,150.2880072
Sweden,SWE,45805.44508,95.0097,125.0711442
Switzerland,CHE,151274.2039,96.8046,119.5610489
Syrian Arab Republic,SYR,78.93270166,..,..
Tajikistan,TJK,100.3710192,36.0872,..
Tanzania,TZA,43.93324057,31.8913,91.89984822
Thailand,THA,2746.247947,87.9772,176.3169269
Timor-Leste,TLS,211.7878178,40.7521,110.4161199
Togo,TGO,80.64038809,37.6212,74.18189659
Tonga,TON,780.6401249,..,..
Trinidad and Tobago,TTO,401.9607484,79.9843,130.5663978
Tunisia,TUN,739.5620914,73.8379,129.2577838
Turkiye,TUR,9166.001382,83.4372,105.807654
Turkmenistan,TKM,103.455053,..,..
Turks and Caicos Islands,TCA,676.1620171,..,..
Tuvalu,TUV,500.4003203,81.1913,..
Uganda,UGA,43.85712857,..,69.986293
Ukraine,UKR,8917.222993,..,..
United Arab Emirates,ARE,1626.60421,100,212.2208173
United Kingdom,GBR,44298.35819,95.3412,120.8191165
United States,USA,180616.3956,97.1299,110.1664718
Uruguay,URY,4678.386028,89.873,138.526391
Uzbekistan,UZB,733.5651567,83.9,103.0681174
Vanuatu,VUT,2319.147985,69.8888,78.19948583
"Venezuela, RB",VEN,214.3691332,..,63.41889546
Viet Nam,VNM,4713.442142,78.59,139.9496874
Virgin Islands (U.S.),VIR,607.1357423,..,..
West Bank and Gaza,PSE,517.8828189,88.6469,..
"Yemen, Rep.",YEM,9.209144806,17.6948,..
Zambia,ZMB,49.81903879,31.2342,99.10241824
Zimbabwe,ZWE,78.10041859,32.5615,87.62450647







